Brand_Name,Cluster,Volume_mean,Daily_Return_mean,Daily_Return_std,Daily_Range_Pct_mean,Close_mean,Volatility_Score
3m,0,3480991.8793,0.0004,0.0157,1.8466,87.8097,0.02899162
adidas,0,59576.2336,0.0006,0.0217,1.5765,71.4032,0.03421005
adobe,0,5115460.557,0.0008,0.0265,2.972,155.2078,0.078758
airbnb,0,6007634.0933,0.0004,0.03,3.7228,138.7028,0.11168399999999999
amazon,1,116452264.3594,0.0011,0.0308,3.3159,48.3162,0.10212972000000001
amd,1,34004310.7689,0.0011,0.0387,4.5814,33.1474,0.17730018
american eagle outfitters,1,5032047.9393,0.0006,0.0314,3.9722,11.9864,0.12472707999999999
american express,0,6076273.513,0.0006,0.0224,2.4024,78.274,0.05381376
apple,2,376723829.8304,0.0012,0.0243,2.7434,46.4725,0.06666462
block,1,10403551.5218,0.0013,0.036,4.3846,81.6823,0.15784559999999997
bmw group,0,12802.4038,0.0006,0.0219,0.7003,66.1761,0.01533657
chipotle,3,1386581.743,0.0009,0.0278,2.8133,619.929,0.07820973999999999
cisco,0,41715528.2685,0.0004,0.0228,2.4672,26.5036,0.05625216
coinbase,1,11019766.0179,0.0015,0.0544,6.8762,171.9966,0.37406527999999994
colgate palmolive,0,4379985.9437,0.0003,0.0135,1.662,44.7166,0.022437
costco,0,3257054.3626,0.0007,0.017,2.123,187.9684,0.036091000000000005
crocs,1,2127899.6109,0.0013,0.0411,4.5797,39.2697,0.18822566999999998
delta air lines,1,11810702.7569,0.0007,0.0322,3.8162,31.3751,0.12288163999999999
fedex,0,2144221.333,0.0005,0.0199,2.2899,127.0036,0.04556901
foot locker,0,2324440.9215,0.0007,0.0302,3.3882,24.1452,0.10232364
google,0,112822106.243,0.001,0.0192,2.1559,52.1756,0.04139328
hershey company,0,1230395.5219,0.0005,0.0144,1.7353,80.0954,0.02498832
hilton,0,2565459.6768,0.0008,0.0178,2.2829,107.2883,0.040635620000000004
honda,0,658475.9137,0.0003,0.0183,1.3969,24.2938,0.025563270000000003
johnson & johnson,0,9001874.6709,0.0004,0.012,1.5117,78.6626,0.0181404
jpmorgan chase & co,0,19300025.3658,0.0007,0.0234,2.4662,65.25,0.05770908
logitech,0,610731.1719,0.0009,0.0277,2.3665,28.84,0.06555204999999999
lvmh,0,123495.1903,0.0009,0.0302,1.9061,60.6927,0.05756422
marriott,0,2785500.6237,0.0007,0.0212,2.5061,73.7986,0.05312932
mastercard,0,10412235.5057,0.0012,0.0205,2.3704,168.4424,0.0485932
mcdonald's,0,5385681.2624,0.0005,0.0143,1.7766,101.8151,0.025405379999999998
microsoft,0,49226365.4046,0.0006,0.0189,2.147,95.5452,0.0405783
netflix,1,15014825.2534,0.0018,0.0346,3.8449,181.9607,0.13303354
nike,0,10614801.9923,0.0006,0.0196,2.2303,43.6491,0.043713880000000004
nintendo,0,1225801.3858,0.0006,0.0254,2.2977,7.0027,0.058361579999999996
nordstrom,0,3235248.8848,0.0006,0.0296,3.4195,26.0417,0.10121720000000001
nvidia,1,84138751.2096,0.0017,0.0389,4.2001,44.1075,0.16338388999999998
peloton,1,13338567.0445,0.0005,0.0528,6.943,35.2201,0.3665904
philips,0,1116327.3004,0.0003,0.0235,1.8299,24.0914,0.04300265
pinterest,1,11841648.1911,0.001,0.0389,4.3412,34.7885,0.16887267999999997
porsche,0,185914.0909,0.0003,0.0236,1.7025,5.3795,0.040179
procter & gamble,0,8965207.8176,0.0004,0.0131,1.557,68.7795,0.0203967
puma,0,377.5108,0.0004,0.029,0.717,48.5946,0.020793
roblox,1,12822004.1183,0.0013,0.0441,5.1156,52.9046,0.22559796
salesforce / slack,0,6890878.6915,0.0011,0.0262,3.0485,98.347,0.0798707
shopify,1,16235864.2348,0.0023,0.0382,4.5149,50.9304,0.17246918
southwest airlines,0,6650917.194,0.0005,0.0225,2.8928,25.2375,0.065088
spotify,1,1879638.182,0.0013,0.0294,3.8163,231.477,0.11219922
starbucks,0,13626210.9651,0.0008,0.0211,2.4805,38.0669,0.052338550000000005
target,0,5627622.9175,0.0005,0.0208,2.4516,66.7973,0.050993279999999995
tesla,1,97076321.509,0.002,0.0364,4.2644,92.4276,0.15522416000000003
the coca-cola company,0,14770558.7298,0.0003,0.0128,1.5741,30.4638,0.020148480000000003
the home depot,0,8416878.6884,0.0005,0.0188,2.2446,113.8687,0.042198480000000003
the walt disney company,0,9802719.3937,0.0004,0.0194,2.2188,65.3025,0.04304472
toyota,0,363929.8924,0.0003,0.0164,1.2464,101.469,0.02044096
uber,1,23899277.0169,0.001,0.0327,3.9047,47.691,0.12768369
ubisoft,0,72392.483,0.0003,0.0283,1.3631,7.5293,0.038575729999999996
unilever,0,1241955.9689,0.0004,0.0146,1.2281,29.0077,0.01793026
visa,0,14160436.5571,0.0009,0.018,2.0541,118.6512,0.0369738
zoom video communications,1,4667022.2894,0.0007,0.0347,4.1224,145.1592,0.14304728
zoominfo,1,5029238.9653,-0.0002,0.038,4.8039,31.4013,0.1825482
